법정동명,,,법정동코드
서울특별시,중구,주자동,1114014100
서울특별시,중구,예장동,1114014200
서울특별시,중구,장충동1가,1114014300
서울특별시,중구,장충동2가,1114014400
서울특별시,중구,광희동1가,1114014500
서울특별시,중구,광희동2가,1114014600
서울특별시,중구,쌍림동,1114014700
서울특별시,중구,을지로6가,1114014800
서울특별시,중구,을지로7가,1114014900
서울특별시,중구,을지로4가,1114015000
서울특별시,중구,을지로5가,1114015100
서울특별시,중구,주교동,1114015200
서울특별시,중구,방산동,1114015300
서울특별시,중구,오장동,1114015400
서울특별시,중구,을지로3가,1114015500
서울특별시,중구,입정동,1114015600
서울특별시,중구,산림동,1114015700
서울특별시,중구,충무로3가,1114015800
서울특별시,중구,초동,1114015900
서울특별시,중구,인현동1가,1114016000
서울특별시,중구,저동2가,1114016100
서울특별시,중구,신당동,1114016200
서울특별시,중구,흥인동,1114016300
서울특별시,중구,무학동,1114016400
서울특별시,중구,황학동,1114016500
서울특별시,중구,서소문동,1114016600
서울특별시,중구,정동,1114016700
서울특별시,중구,순화동,1114016800
서울특별시,중구,의주로1가,1114016900
서울특별시,중구,충정로1가,1114017000
서울특별시,중구,중림동,1114017100
서울특별시,중구,의주로2가,1114017200
서울특별시,중구,만리동1가,1114017300
서울특별시,중구,만리동2가,1114017400
서울특별시,중구,신당1동,1114090100
서울특별시,중구,신당2동,1114090200
서울특별시,중구,신당3동,1114090300
서울특별시,중구,신당4동,1114090400
서울특별시,중구,신당5동,1114090500
서울특별시,중구,신당6동,1114090600
서울특별시,용산구,,1117000000
서울특별시,용산구,옥수동,1117000100
서울특별시,용산구,도동1가,1117000200
서울특별시,용산구,도동2가,1117000300
서울특별시,용산구,만리동1가,1117000400
서울특별시,용산구,만리동2가,1117000500
서울특별시,용산구,후암동,1117010100
서울특별시,용산구,용산동2가,1117010200
서울특별시,용산구,용산동4가,1117010300
서울특별시,용산구,갈월동,1117010400
서울특별시,용산구,남영동,1117010500
서울특별시,용산구,용산동1가,1117010600
서울특별시,용산구,동자동,1117010700
서울특별시,용산구,서계동,1117010800
서울특별시,용산구,청파동1가,1117010900
서울특별시,용산구,청파동2가,1117011000
서울특별시,용산구,청파동3가,1117011100
서울특별시,용산구,원효로1가,1117011200
서울특별시,용산구,원효로2가,1117011300
서울특별시,용산구,신창동,1117011400
서울특별시,용산구,산천동,1117011500
서울특별시,용산구,청암동,1117011600
서울특별시,용산구,원효로3가,1117011700
서울특별시,용산구,원효로4가,1117011800
서울특별시,용산구,효창동,1117011900
서울특별시,용산구,도원동,1117012000
서울특별시,용산구,용문동,1117012100
서울특별시,용산구,문배동,1117012200
서울특별시,용산구,신계동,1117012300
서울특별시,용산구,한강로1가,1117012400
서울특별시,용산구,한강로2가,1117012500
서울특별시,용산구,용산동3가,1117012600
서울특별시,용산구,용산동5가,1117012700
서울특별시,용산구,한강로3가,1117012800
서울특별시,용산구,이촌동,1117012900
서울특별시,용산구,이태원동,1117013000
서울특별시,용산구,한남동,1117013100
서울특별시,용산구,동빙고동,1117013200
서울특별시,용산구,서빙고동,1117013300
서울특별시,용산구,주성동,1117013400
서울특별시,용산구,용산동6가,1117013500
서울특별시,용산구,보광동,1117013600
서울특별시,용산구,청파1동,1117090100
서울특별시,용산구,청파2동,1117090200
서울특별시,용산구,이촌1동,1117090300
서울특별시,용산구,이촌2동,1117090400
서울특별시,용산구,이태원1동,1117090500
서울특별시,용산구,이태원2동,1117090600
서울특별시,용산구,한남1동,1117090700
서울특별시,용산구,한남2동,1117090800
서울특별시,성동구,,1120000000
서울특별시,성동구,상일동,1120000100
서울특별시,성동구,길동,1120000200
서울특별시,성동구,둔촌동,1120000300
서울특별시,성동구,암사동,1120000400
서울특별시,성동구,성내동,1120000500
서울특별시,성동구,풍납동,1120000600
서울특별시,성동구,천호동,1120000700
서울특별시,성동구,송파동,1120000800
서울특별시,성동구,석촌동,1120000900
서울특별시,성동구,삼전동,1120001000
서울특별시,성동구,가락동,1120001100
서울특별시,성동구,이동,1120001200
서울특별시,성동구,오금동,1120001300
서울특별시,성동구,방이동,1120001400
서울특별시,성동구,문정동,1120001500
서울특별시,성동구,장지동,1120001600
서울특별시,성동구,거여동,1120001700
서울특별시,성동구,마천동,1120001800
서울특별시,성동구,잠실동,1120001900
서울특별시,성동구,신천동,1120002000
서울특별시,성동구,일원동,1120002100
서울특별시,성동구,수서동,1120002200
서울특별시,성동구,자곡동,1120002300
서울특별시,성동구,율현동,1120002400
서울특별시,성동구,세곡동,1120002500
서울특별시,성동구,역삼동,1120002600
서울특별시,성동구,포이동,1120002700
서울특별시,성동구,개포동,1120002800
서울특별시,성동구,도곡동,1120002900
서울특별시,성동구,논현동,1120003000
서울특별시,성동구,신사동,1120003100
서울특별시,성동구,학동,1120003200
서울특별시,성동구,압구정동,1120003300
서울특별시,성동구,청담동,1120003400
서울특별시,성동구,삼성동,1120003500
서울특별시,성동구,대치동,1120003600
서울특별시,성동구,염곡동,1120003700
서울특별시,성동구,내곡동,1120003800
서울특별시,성동구,신원동,1120003900
서울특별시,성동구,반포동,1120004000
서울특별시,성동구,잠원동,1120004100
서울특별시,성동구,서초동,1120004200
서울특별시,성동구,양재동,1120004300
서울특별시,성동구,우면동,1120004400
서울특별시,성동구,원지동,1120004500
서울특별시,성동구,황학동,1120004600
서울특별시,성동구,무학동,1120004700
서울특별시,성동구,흥인동,1120004800
서울특별시,성동구,신당동,1120004900
서울특별시,성동구,용두동,1120005000
서울특별시,성동구,답십리동,1120005100
서울특별시,성동구,면목동,1120005200
서울특별시,성동구,금호동,1120005300
서울특별시,성동구,명일동,1120005400
서울특별시,성동구,하일동,1120005500
서울특별시,성동구,고덕동,1120005600
서울특별시,성동구,상왕십리동,1120010100
서울특별시,성동구,하왕십리동,1120010200
서울특별시,성동구,홍익동,1120010300
서울특별시,성동구,도선동,1120010400
서울특별시,성동구,마장동,1120010500
서울특별시,성동구,사근동,1120010600
서울특별시,성동구,행당동,1120010700
서울특별시,성동구,응봉동,1120010800
서울특별시,성동구,금호동1가,1120010900
서울특별시,성동구,금호동2가,1120011000
서울특별시,성동구,금호동3가,1120011100
서울특별시,성동구,금호동4가,1120011200
서울특별시,성동구,옥수동,1120011300
서울특별시,성동구,성수동1가,1120011400
서울특별시,성동구,성수동2가,1120011500
서울특별시,성동구,화양동,1120011600
서울특별시,성동구,모진동,1120011700
서울특별시,성동구,송정동,1120011800
서울특별시,성동구,군자동,1120011900
서울특별시,성동구,중곡동,1120012000
서울특별시,성동구,능동,1120012100
서울특별시,성동구,용답동,1120012200
서울특별시,성동구,광장동,1120012300
서울특별시,성동구,구의동,1120012400
서울특별시,성동구,자양동,1120012500
서울특별시,성동구,왕십리1동,1120090100
서울특별시,성동구,왕십리2동,1120090200
서울특별시,성동구,행당1동,1120090300
서울특별시,성동구,행당2동,1120090400
서울특별시,성동구,중곡1동,1120090500
서울특별시,성동구,중곡2동,1120090600
서울특별시,성동구,중곡3동,1120090700
서울특별시,성동구,중곡4동,1120090800
서울특별시,성동구,옥수1동,1120090900
서울특별시,성동구,옥수2동,1120091000
서울특별시,성동구,성수1가1동,1120091100
서울특별시,성동구,성수1가2동,1120091200
서울특별시,성동구,성수2가1동,1120091300
서울특별시,성동구,성수2가2동,1120091400
서울특별시,성동구,성수2가3동,1120091500
서울특별시,성동구,성수2가4동,1120091600
서울특별시,성동구,자양1동,1120091700
서울특별시,성동구,자양2동,1120091800
서울특별시,성동구,자양3동,1120091900
서울특별시,성동구,구의1동,1120092000
서울특별시,성동구,구의2동,1120092100
서울특별시,광진구,,1121500000
서울특별시,광진구,중곡동,1121510100
서울특별시,광진구,능동,1121510200
서울특별시,광진구,구의동,1121510300
서울특별시,광진구,광장동,1121510400
서울특별시,광진구,자양동,1121510500
서울특별시,광진구,노유동,1121510600
서울특별시,광진구,화양동,1121510700
서울특별시,광진구,모진동,1121510800
서울특별시,광진구,군자동,1121510900
서울특별시,동대문구,,1123000000
서울특별시,동대문구,면목동,1123000100
서울특별시,동대문구,상봉동,1123000200
서울특별시,동대문구,중화동,1123000300
서울특별시,동대문구,묵동,1123000400
서울특별시,동대문구,망우동,1123000500
서울특별시,동대문구,신내동,1123000600
서울특별시,동대문구,중곡동,1123000700
서울특별시,동대문구,능동,1123000800
서울특별시,동대문구,군자동,1123000900
서울특별시,동대문구,종암동,1123001000
서울특별시,동대문구,안암동4가,1123001100
서울특별시,동대문구,안암동5가,1123001200
서울특별시,동대문구,석관동,1123001300
서울특별시,동대문구,보문동1가,1123001400
서울특별시,동대문구,보문동2가,1123001500
서울특별시,동대문구,보문동3가,1123001600
서울특별시,동대문구,보문동4가,1123001700
서울특별시,동대문구,보문동5가,1123001800
서울특별시,동대문구,보문동6가,1123001900
서울특별시,동대문구,보문동7가,1123002000
서울특별시,동대문구,창신동,1123002100
서울특별시,동대문구,숭인동,1123002200
서울특별시,동대문구,신설동,1123010100
서울특별시,동대문구,용두동,1123010200
서울특별시,동대문구,제기동,1123010300
서울특별시,동대문구,전농동,1123010400
서울특별시,동대문구,답십리동,1123010500
서울특별시,동대문구,장안동,1123010600
서울특별시,동대문구,청량리동,1123010700
서울특별시,동대문구,회기동,1123010800
서울특별시,동대문구,휘경동,1123010900
서울특별시,동대문구,이문동,1123011000
서울특별시,동대문구,용두1동,1123090100
서울특별시,동대문구,용두2동,1123090200
서울특별시,동대문구,제기1동,1123090300
서울특별시,동대문구,제기2동,1123090400
서울특별시,동대문구,전농1동,1123090500
서울특별시,동대문구,전농2동,1123090600
서울특별시,동대문구,전농3동,1123090700
서울특별시,동대문구,전농4동,1123090800
서울특별시,동대문구,답십리1동,1123090900
서울특별시,동대문구,답십리2동,1123091000
서울특별시,동대문구,답십리3동,1123091100
서울특별시,동대문구,답십리4동,1123091200
서울특별시,동대문구,답십리5동,1123091300
서울특별시,동대문구,장안1동,1123091400
서울특별시,동대문구,장안2동,1123091500
서울특별시,동대문구,장안3동,1123091600
서울특별시,동대문구,장안4동,1123091700
서울특별시,동대문구,청량리1동,1123091800
서울특별시,동대문구,청량리2동,1123091900
서울특별시,동대문구,휘경1동,1123092000
서울특별시,동대문구,휘경2동,1123092100
서울특별시,동대문구,이문1동,1123092200
서울특별시,동대문구,이문2동,1123092300
서울특별시,동대문구,이문3동,1123092400
서울특별시,중랑구,,1126000000
서울특별시,중랑구,면목동,1126010100
서울특별시,중랑구,상봉동,1126010200
서울특별시,중랑구,중화동,1126010300
서울특별시,중랑구,묵동,1126010400
서울특별시,중랑구,망우동,1126010500
서울특별시,중랑구,신내동,1126010600
서울특별시,중랑구,면목1동,1126090100
서울특별시,중랑구,면목2동,1126090200
서울특별시,중랑구,면목3동,1126090300
서울특별시,중랑구,면목4동,1126090400
서울특별시,중랑구,면목5동,1126090500
서울특별시,중랑구,면목6동,1126090600
서울특별시,중랑구,면목7동,1126090700
서울특별시,중랑구,상봉1동,1126090800
서울특별시,중랑구,상봉2동,1126090900
서울특별시,중랑구,중화1동,1126091000
서울특별시,중랑구,중화2동,1126091100
서울특별시,중랑구,묵1동,1126091200
서울특별시,중랑구,묵2동,1126091300
서울특별시,중랑구,망우1동,1126091400
서울특별시,중랑구,망우2동,1126091500
서울특별시,중랑구,망우3동,1126091600
서울특별시,성북구,,1129000000
서울특별시,성북구,미아동,1129000100
서울특별시,성북구,번동,1129000200
서울특별시,성북구,수유동,1129000300
서울특별시,성북구,우이동,1129000400
서울특별시,성북구,창동,1129000500
서울특별시,성북구,월계동,1129000600
서울특별시,성북구,쌍문동,1129000700
서울특별시,성북구,공릉동,1129000800
서울특별시,성북구,하계동,1129000900
서울특별시,성북구,상계동,1129001000
서울특별시,성북구,중계동,1129001100
서울특별시,성북구,도봉동,1129001200
서울특별시,성북구,방학동,1129001300
서울특별시,성북구,성북동2가,1129001400
서울특별시,성북구,동소문동8가,1129001500
서울특별시,성북구,성북동,1129010100
서울특별시,성북구,성북동1가,1129010200
서울특별시,성북구,돈암동,1129010300
서울특별시,성북구,동소문동1가,1129010400
서울특별시,성북구,동소문동2가,1129010500
서울특별시,성북구,동소문동3가,1129010600
서울특별시,성북구,동소문동4가,1129010700
서울특별시,성북구,동소문동5가,1129010800
서울특별시,성북구,동소문동6가,1129010900
서울특별시,성북구,동소문동7가,1129011000
서울특별시,성북구,삼선동1가,1129011100
서울특별시,성북구,삼선동2가,1129011200
서울특별시,성북구,삼선동3가,1129011300
서울특별시,성북구,삼선동4가,1129011400
서울특별시,성북구,삼선동5가,1129011500
서울특별시,성북구,동선동1가,1129011600
서울특별시,성북구,동선동2가,1129011700
서울특별시,성북구,동선동3가,1129011800
서울특별시,성북구,동선동4가,1129011900
서울특별시,성북구,동선동5가,1129012000
서울특별시,성북구,안암동1가,1129012100
서울특별시,성북구,안암동2가,1129012200
서울특별시,성북구,안암동3가,1129012300
서울특별시,성북구,안암동4가,1129012400
서울특별시,성북구,안암동5가,1129012500
서울특별시,성북구,보문동4가,1129012600
서울특별시,성북구,보문동5가,1129012700
서울특별시,성북구,보문동6가,1129012800
서울특별시,성북구,보문동7가,1129012900
서울특별시,성북구,보문동1가,1129013000
서울특별시,성북구,보문동2가,1129013100
서울특별시,성북구,보문동3가,1129013200
서울특별시,성북구,정릉동,1129013300
서울특별시,성북구,길음동,1129013400
서울특별시,성북구,종암동,1129013500
서울특별시,성북구,하월곡동,1129013600
서울특별시,성북구,상월곡동,1129013700
서울특별시,성북구,장위동,1129013800
서울특별시,성북구,석관동,1129013900
서울특별시,성북구,성북1동,1129090100
서울특별시,성북구,성북2동,1129090200
서울특별시,성북구,삼선1동,1129090300
서울특별시,성북구,삼선2동,1129090400
서울특별시,성북구,동선1동,1129090500
서울특별시,성북구,동선2동,1129090600
서울특별시,성북구,돈암1동,1129090700
서울특별시,성북구,돈암2동,1129090800
서울특별시,성북구,정릉1동,1129090900
서울특별시,성북구,정릉2동,1129091000
서울특별시,성북구,정릉3동,1129091100
서울특별시,성북구,정릉4동,1129091200
서울특별시,성북구,길음1동,1129091300
서울특별시,성북구,길음2동,1129091400
서울특별시,성북구,길음3동,1129091500
서울특별시,성북구,종암1동,1129091600
서울특별시,성북구,종암2동,1129091700
서울특별시,성북구,하월곡1동,1129091800
서울특별시,성북구,하월곡2동,1129091900
서울특별시,성북구,하월곡3동,1129092000
서울특별시,성북구,하월곡4동,1129092100
서울특별시,성북구,장위1동,1129092200
서울특별시,성북구,장위2동,1129092300
서울특별시,성북구,장위3동,1129092400
서울특별시,성북구,석관1동,1129092500
서울특별시,성북구,석관2동,1129092600
서울특별시,강북구,,1130500000
서울특별시,강북구,미아동,1130510100
서울특별시,강북구,번동,1130510200
서울특별시,강북구,수유동,1130510300
서울특별시,강북구,우이동,1130510400
서울특별시,도봉구,,1132000000
서울특별시,도봉구,상계동,1132000300
서울특별시,도봉구,중계동,1132000400
서울특별시,도봉구,하계동,1132000500
서울특별시,도봉구,월계동,1132000600
서울특별시,도봉구,공릉동,1132000700
서울특별시,도봉구,미아동,1132010100
서울특별시,도봉구,번동,1132010200
서울특별시,도봉구,수유동,1132010300
서울특별시,도봉구,우이동,1132010400
서울특별시,도봉구,쌍문동,1132010500
서울특별시,도봉구,방학동,1132010600
서울특별시,도봉구,창동,1132010700
서울특별시,도봉구,도봉동,1132010800
서울특별시,도봉구,창1동,1132090100
서울특별시,도봉구,창2동,1132090200
서울특별시,도봉구,창3동,1132090300
서울특별시,도봉구,도봉1동,1132090400
서울특별시,도봉구,도봉2동,1132090500
서울특별시,도봉구,미아1동,1132090600
서울특별시,도봉구,미아2동,1132090700
서울특별시,도봉구,미아3동,1132090800
서울특별시,도봉구,미아4동,1132090900
서울특별시,도봉구,미아5동,1132091000
서울특별시,도봉구,미아6동,1132091100
서울특별시,도봉구,미아7동,1132091200
서울특별시,도봉구,미아8동,1132091300
서울특별시,도봉구,번1동,1132091400
서울특별시,도봉구,번2동,1132091500
서울특별시,도봉구,수유1동,1132091600
서울특별시,도봉구,수유2동,1132091700
서울특별시,도봉구,수유3동,1132091800
서울특별시,도봉구,수유4동,1132091900
서울특별시,도봉구,수유5동,1132092000
서울특별시,도봉구,쌍문1동,1132092100
서울특별시,도봉구,쌍문2동,1132092200
서울특별시,도봉구,쌍문3동,1132092300
서울특별시,도봉구,방학1동,1132092400
서울특별시,도봉구,방학2동,1132092500
서울특별시,도봉구,방학3동,1132092600
서울특별시,노원구,,1135000000
서울특별시,노원구,창동,1135010100
서울특별시,노원구,월계동,1135010200
서울특별시,노원구,공릉동,1135010300
서울특별시,노원구,하계동,1135010400
서울특별시,노원구,상계동,1135010500
서울특별시,노원구,중계동,1135010600
서울특별시,노원구,도봉동,1135010700
서울특별시,노원구,도봉1동,1135090100
서울특별시,노원구,도봉2동,1135090200
서울특별시,노원구,창1동,1135090300
서울특별시,노원구,창2동,1135090400
서울특별시,노원구,창3동,1135090500
서울특별시,노원구,월계1동,1135090600
서울특별시,노원구,월계2동,1135090700
서울특별시,노원구,월계3동,1135090800
서울특별시,노원구,공릉1동,1135090900
서울특별시,노원구,공릉2동,1135091000
서울특별시,노원구,상계1동,1135091100
서울특별시,노원구,상계2동,1135091200
서울특별시,노원구,상계3동,1135091300
서울특별시,노원구,상계4동,1135091400
서울특별시,노원구,상계5동,1135091500
서울특별시,노원구,상계6동,1135091600
서울특별시,노원구,상계7동,1135091700
서울특별시,은평구,,1138000000
서울특별시,은평구,수색동,1138010100
서울특별시,은평구,녹번동,1138010200
서울특별시,은평구,불광동,1138010300
서울특별시,은평구,갈현동,1138010400
서울특별시,은평구,구산동,1138010500
서울특별시,은평구,대조동,1138010600
서울특별시,은평구,응암동,1138010700
서울특별시,은평구,역촌동,1138010800
서울특별시,은평구,신사동,1138010900
서울특별시,은평구,증산동,1138011000
서울특별시,은평구,진관내동,1138011100
서울특별시,은평구,구파발동,1138011200
서울특별시,은평구,진관외동,1138011300
서울특별시,은평구,진관동,1138011400
서울특별시,은평구,불광1동,1138090100
서울특별시,은평구,불광2동,1138090200
서울특별시,은평구,불광3동,1138090300
서울특별시,은평구,응암1동,1138090400
서울특별시,은평구,응암2동,1138090500
서울특별시,은평구,응암3동,1138090600
서울특별시,은평구,역촌1동,1138090700
서울특별시,은평구,역촌2동,1138090800
서울특별시,은평구,응암4동,1138090900
서울특별시,서대문구,,1141000000
서울특별시,서대문구,평창동,1141000100
서울특별시,서대문구,구기동,1141000200
서울특별시,서대문구,부암동,1141000300
서울특별시,서대문구,홍지동,1141000400
서울특별시,서대문구,신영동,1141000500
서울특별시,서대문구,행촌동,1141000600
서울특별시,서대문구,송월동,1141000700
서울특별시,서대문구,홍파동,1141000800
서울특별시,서대문구,평동,1141000900
서울특별시,서대문구,교남동,1141001000
서울특별시,서대문구,교북동,1141001100
서울특별시,서대문구,서소문동,1141001200
서울특별시,서대문구,정동,1141001300
서울특별시,서대문구,순화동,1141001400
서울특별시,서대문구,의주로2가,1141001500
서울특별시,서대문구,중림동,1141001600
서울특별시,서대문구,의주로1가,1141001700
서울특별시,서대문구,충정로1가,1141001800
서울특별시,서대문구,노고산동,1141001900
서울특별시,서대문구,만리동1가,1141002000
서울특별시,서대문구,만리동2가,1141002100
서울특별시,서대문구,상암동,1141002200
서울특별시,서대문구,성산동,1141002300
서울특별시,서대문구,수색동,1141002400
서울특별시,서대문구,중동,1141002500
서울특별시,서대문구,녹번동,1141002600
서울특별시,서대문구,불광동,1141002700
서울특별시,서대문구,갈현동,1141002800
서울특별시,서대문구,역촌동,1141002900
서울특별시,서대문구,신사동,1141003000
서울특별시,서대문구,구파발동,1141003100
서울특별시,서대문구,구산동,1141003200
서울특별시,서대문구,진관내동,1141003300
서울특별시,서대문구,진관외동,1141003400
서울특별시,서대문구,응암동,1141003500
서울특별시,서대문구,대조동,1141003600
서울특별시,서대문구,증산동,1141003700
서울특별시,서대문구,충정로2가,1141010100
서울특별시,서대문구,충정로3가,1141010200
서울특별시,서대문구,합동,1141010300
서울특별시,서대문구,미근동,1141010400
서울특별시,서대문구,냉천동,1141010500
서울특별시,서대문구,천연동,1141010600
서울특별시,서대문구,옥천동,1141010700
서울특별시,서대문구,영천동,1141010800
서울특별시,서대문구,현저동,1141010900
서울특별시,서대문구,북아현동,1141011000
서울특별시,서대문구,홍제동,1141011100
서울특별시,서대문구,대현동,1141011200
서울특별시,서대문구,대신동,1141011300
서울특별시,서대문구,신촌동,1141011400
서울특별시,서대문구,봉원동,1141011500
서울특별시,서대문구,창천동,1141011600
서울특별시,서대문구,연희동,1141011700
서울특별시,서대문구,홍은동,1141011800
서울특별시,서대문구,북가좌동,1141011900
서울특별시,서대문구,남가좌동,1141012000
서울특별시,서대문구,충정로동,1141090100
서울특별시,서대문구,북아현1동,1141090200
서울특별시,서대문구,북아현2동,1141090300
서울특별시,서대문구,북아현3동,1141090400
서울특별시,서대문구,연희1동,1141090500
서울특별시,서대문구,연희2동,1141090600
서울특별시,서대문구,연희3동,1141090700
서울특별시,서대문구,홍제1동,1141090800
서울특별시,서대문구,홍제2동,1141090900
서울특별시,서대문구,홍제3동,1141091000
서울특별시,서대문구,홍제4동,1141091100
서울특별시,서대문구,홍은1동,1141091200
서울특별시,서대문구,홍은2동,1141091300
서울특별시,서대문구,홍은3동,1141091400
서울특별시,서대문구,남가좌1동,1141091500
서울특별시,서대문구,남가좌2동,1141091600
서울특별시,서대문구,북가좌1동,1141091700
서울특별시,서대문구,북가좌1동,1141091800
서울특별시,마포구,,1144000000
서울특별시,마포구,연희동,1144000100
서울특별시,마포구,남가좌동,1144000200
서울특별시,마포구,수색동,1144000300
서울특별시,마포구,율도동,1144000400
서울특별시,마포구,아현동,1144010100
서울특별시,마포구,공덕동,1144010200
서울특별시,마포구,신공덕동,1144010300
서울특별시,마포구,도화동,1144010400
서울특별시,마포구,용강동,1144010500
서울특별시,마포구,토정동,1144010600
서울특별시,마포구,마포동,1144010700
서울특별시,마포구,대흥동,1144010800
서울특별시,마포구,염리동,1144010900
서울특별시,마포구,노고산동,1144011000
서울특별시,마포구,신수동,1144011100
서울특별시,마포구,현석동,1144011200
서울특별시,마포구,구수동,1144011300
서울특별시,마포구,창전동,1144011400
서울특별시,마포구,상수동,1144011500
서울특별시,마포구,하중동,1144011600
서울특별시,마포구,신정동,1144011700
서울특별시,마포구,당인동,1144011800
서울특별시,마포구,하수동,1144011900
서울특별시,마포구,서교동,1144012000
서울특별시,마포구,동교동,1144012100
